text,label
"Beställde varor och betalade i förskott, efter 3 veckor kom ett samtal där man informerade att en vara var slut. De skulle skicka en annan vara. Inget hände och efter samtal IGEN så hittade de inget. Till slut kom varorna. Jag hade beställt 60 munskydd, fick 30 där 10st låg lösa utan förpackning. Ringt flera gånger men ännu inte fått de resterande varorna som är betalda. Dessutom har jag fått påminnelse fakturor trots förskottsbetalning En vecka till ock det blir en anmälan 🤬.",0
Har beställt prylar förut utan problem. Nu har jag dessvärre haft så mycket problem med en jacka att det får vara nog. Outnorth vet inte sin egen lagerstatus. Jag får olika besked om min beställning från dag till dag. Det ända jag vet i dagsläget är att Outnorth fortfarande har mina pengar och att jag inte har fått jackan jag beställde.,0
Jag har reklamerat på en nyköpt Fjällräven jacka (1 vecka gammal) med defekt blixtlås.I ställe for å få ny insisterade dom på att laga den - har nu ventat i 3 veckor utan att höra nogot. Har skickat mail utan att få svar. När jag fick tag på som på telefon i dag blev jag forklarad at det minimum tar 4 veckor.Dette blir siste gangen jag ha handlar på Naturkompaniet.,0
"Detta är den tredje underbara lilla kaninen med brodyr jag köper.. Jättenöjd med denna fina present som denna gång går till mitt yngsta barnbarn som fyller 1 år. Är övertygad om att det kommer bli en fin leksak, och ett underbart minne för henne att ha hela livet!",1
"Sämsta internetleverantör jag någonsin haft. Avbrott konstant, aldrig mer igen på uppsägning.",0
Långsam hantering.Mitt paket låg kvar i nästan en vecka hos sårcentralen innan det lämnades in för leverans.,0
Snabb leverans. Första lampan jag beställde var slut och den jag fick var lite sned men annars var allt bra.,1
Jag har fortfarande inte fått paketet,0
Mycke snabb leverans,1
Inte bra alls! Man får inte tag på plastikkirurg.se och får inte heller svar på frågor via e- post!!! Oseriöst företag.,0
"oseriöst, inget hört från dem efter 7 dagar. Tror inte alls på deras affärsmodell",0
Bra billig snabbt!,1
De har ingen kundservice. Bara ett mobilnummer som ingen svarar på..,0
"Stor besvikelse att INET inte godtar kontanter i butik.Då det på området gäller avtals frihet. Och i min värld måste man vara minst 2 parter som är överens annars finns det inget avtal.Men då INET ensidigt och med skylt vid kassan skrivit ""kontantfritt"" så tolkar jag det som att INET inte är intresserad av mig som kund. VI har fortfarande inget avtal. Men jag kommer att välja mina leverantörer av IT-produkter lite bredare fortsättningen.Har vi som konsument rätt att betala kontant?Ja om man inte avtalat bort det. För att ett AVTAL kan komma tillstånd måste 2 parter vara överens. INET har ensidigt valt bort kontanter.I Sverige är kontanter enligt Riksbankslagen lagliga betalningsmedel och det betyder att vi ska kunna betala med dem överallt. Men den regeln kan avtalas bort av till exempel affärer och restauranger via den så kallade avtalsfriheten. En butik kan alltså i princip vägra att acceptera kontanter överhuvudtaget, vägra att acceptera mynt eller vissa valörer (till exempel tusenlappar). För kunden underlättar det att få informationen i god tid, till exempel genom en skylt på dörren, så att det går att välja om man vill handla där eller gå någon annanstans. Ett undantag från avtalsfriheten finns dock inom sjukvården. Enligt en dom i Högsta förvaltningsdomstolen från 2015 måste landstinget erbjuda patienter möjligheten att betala med kontanter.",0
"Erbjuden leveransservice är rimligt OK. Men den konkreta produkten, B80922, höll inte måttet rent kvalitetsmässigt. Bra materialval, men konstruktionsmässigt underdimensionerad. Uppsliten på mindre än två (2) månader!",0
Allt bara bra jag är nöjd.,1
När ni packade mina varor så låg de i en jättestor kartong som gjorde att det var stora repor på pakethållarna som skakats runt under transporten. Dessutom låg det en tub med navfett som det gått hål i. Så skavda pakethållare och dessutom inkletade med navfett.. det gör inte mig speciellt imponerad,0
"Vi beställde för snart två veckor sen och har fortfarande inte fått vår order. Kundservice svarade först inte, och lovade att återkomma med svar. Det gjorde de inte. Jag vill kompensation för två veckors försening när ni lovar 24/48h leverans, samt att kundservice inte hjälpt oss alls.",0
"Beställde en eau de toalette och betalade via PayPal. Såg att leveransen var på gång, 1 1/2 vecka senare ringer de och säger att paketet är på villovägar, och de kan inte se var paketet är. Dock kan de inte skicka en ny, då den är slutsåld. Pengar ska sättas in på kontot, men de är inte där...än.",0
Tack Karin för hjälpen med att hitta produkten och storleken jag sökte. Lösnings orienterad och hjälpsam jag bugar mig.,1
"Sjukt dålig hemsida där jag knappt hittar mina varor. Kämpar på och har äntligen en korg fylld men när jag trycker på den och ska gå till kassan så får jag error hela tiden. Det går inte att handla. Så buggigt. Har alltid vart nöjd tidigare och trogen kund i flera år, men nu blev det boozt och stadium istället där det faktiskt gick att handla. Så less. Nu tappade ni ytterligare en kund.",0
"Snygg bra sida. Imponerande stort sortiment. Tog lite tid innan jag hittade var man skulle lägga in rabattkoden, men det hittar jag nu.👍",1
Bra service och snabb leverans,1
Snabb leverans och snygg jacka!,1
"Väldigt krångligt resa denna g: det började med att jag skrev min sons namn och detta blev registrerad som huvudresenär och för att fråga minsta om resa behövde min son ringa och skriva mig som huvudresenär; sen skrev de en konstig mail adress som gjorde att vi kunde inte checka in online och det kostade 1250 kr och även att på flygplatsen sa de att Ebeach ska återbetala så håller de fortfarande på att ta reklamationen (för att börja med), sen skulle vi checka in på hotellet, men ingen var där. Vi ringde Ebeach och de sa att det kan man efter kl. 18 (detta stog med små bokstäver som info på bokning), men kl. 18:30 ingen där. Vi frågade runt och tog reda på att vi ska till en stor hotel (10 mun promenad) och fråga där för det är de som hör check in. Ja, men inte utan deposition på 200 € (detta står som info på bokning, dock inte summan). Vem ska kontrollera att att är ok när vi checkar ut fick vi ingen info.Det ända dom är bra med Ebeach är att de är trevliga när de svarar; men mer info, mer kund i centrum...Äh bra klimat, god mat (bra priser) och trevliga människor...Alicante/Spanien",0
massa med 0000000000,0
"Sämsta någonsin. Beställde 3 veckor innan jul. Fick paket 3 veckor efter jul. Fick inte ens allt som jag betalt för. Fick fel färg (rörstrand muggar). Nu har dom inte svarat på mina mail, väntar 3 veckor på svar. Aldrig någonsin kökets favoriter.",0
"Fick skicka underlag flera gånger och fick olika mailbesked hur mitt ärende ""låg till"" flera gånger.",0
"Jag beställde en julklapp den 11 december men ingenting kom. Fakturan ska ändå betalas (men kunde anmälas och pausas hos Klarna). Har skrivit 3 mail, ringt och suttit i kö 3 gånger i nästan en timme (med könummer 1). Problem och förseningar kan man ju alltid råka ut för, men de hör aldrig av sig tillbaka och är ett oerhört oseriöst företag. Kundservicen är 0%!! Jag skulle ALDRIG rekommendera någon att handla från dem.",0
"Lätt att hitta, lätt att få hjälp, lätt att beställa, lätt att få hem och glad över ett bra höj och sänkbart skrivbord:)",1
"Jag har idag nästan blivit lurad att att byta abonnemang till fibio utan att förstå att det var ett nytt avtal med en ny operatör.En man ringde upp mig på jobbet, presenterade sig med ett namn och sade ""jag vill diskutera ditt mobilabbonnemang på Tre"". OK; tekniskt sett sade han inte att han ringde från tre, men det var så jag uppfattade det, och helt säkert så det var tänkt...Han ville ge mig ett erbjudande om ett billigare abonnemang, 149 kr istället för de 199 jag betalar hos nu. De skulle skicka mig ett nytt SIMkort (""för att vara säker på att det fungerar med 5G som vi håller på att bygga ut""), och jag skulle få sms-påminnelse om vilken dag det var dags att byta SIMkortet. Lät väl ok, men jag blev ändå misstänktsam. Tre ringer ibland upp mig efter min bindningstid gått ut, og ger mig lite rabatt, eller extra surf, men det kan alltid ordnas på mitt existerande abonnemang (och SIM-kort).SÅ jag frågade Varför? Varför ringer ni upp era kunder och avslutar deras abonnemang och gör nya till dem. Han svarade att han inte förstod vad jag menade, det blir ju mycket billigare, och så körde vi runt så ett par varv tills jag specificerade Varför ringer ni, TRE, upp era kunder och avslutar ett abonnemang för att genast teckna ett nytt?Svaret blev ""nu är det fibio som adminstrerar det här eftersom tre inte har några abbonnemang som kostar mindre än 199 kr i månaden"". Först här förstod jag att mannen inte ringde från tre och jag faktiskt skulle få en ny mobiloperatör.... Jag frågade specifikt ""så det du säger är att du kommer att säga upp mitt abonnemang på tre och göra ett nytt med fibio""?Jo så var det svarade han. Han fick ett rätt surt ""nej tack, det vill jag inte"" och så lade jag på. Nu ska jag kolla själv på om det kanske är förnuftigt att byta till en annan operatör, men jag kan garantera att det inte blir fibio! Naturligtvis blev jag arg och lite chockad över att jag nästan gick med på att byta operatör helt utan att förstå att det var det jag gjorde. Ett företag som använder så oseriösa metoder vill jag definitivt inte ge mina pengar till, hur billigt det än skulle vara...",0
Fantastiskt snabb och fin service,1
"Tack alla på skånskabad som gjorde vårt badrum, fint jobb, bra service .Bra idèr från alla på firman, kontaktade oss vid minsta lilla frågan om något. Jag fick svar på alla frågor vi hade under tiden projektet på gick.idag njuter vi till fullo av vårt nya badrum.Tack Änn en gång skånskabd för ett kanon jobb.",1
Fruktansvärt dåligt!! Har mailat flera ggr utan svar Inte fått min vara Får inte mina pengar tillbaka ..,0
Får hemskickat protein pulver utan att ha beställt. Även dragits på mitt kort. Och inget svar när man skriver till er,0
Den inledande kontakten har varit professionell och trevlig.,1
Jag tycker att allt fungerat bra från budgivning till avslut så jag är nöjd på alla sätt,1
"Jag fick datorn på utsatt tid, utan problem.",1
"Dom lockar in kunder på låga priser sen gör dom orimliga prishöjningar varje år. Mitt förråd har fått en prishöjning på 45% på två år. Jag tycker deras affärsmodell är högst tveksam, känns inte seriöst.",0
"Snabb leverans, inga problem alls.",1
"Snabb leverans, dock blev den dyrare än den större storleken som nu har kommit tillbaka i handeln",1
Man håller vad man lovar med plus i kanten.,1
"Grymt, nice, 5av5",1
"Värdelösa på att svara, har väntat på pengar tillbaka från en retur i 6 veckor. Har fortfarande inte fått dem trotts flera Mail.",0
"Uruselt! Liknar tidigare omdöme! Fått en trasig adventsljusstake, hela julen har gått och har ringt och mailat men inget svar på 3 veckor! Verkar inte finns någon seriös person som arbetar på deras kundtjänst - undvik och lägg era pengar någon annan stans!",0
"Snabb leverans, av delar som jag blev jättenöjd med.",1
"Helt nya grejer, utmärkt service!",1
Trevlig och hjälpsam personal. Kläderna stämmer för det mesta i storl//Tack,0
"Har man inget bankkort verkar det vara omöjligt att ens att göra ansökan, detta är ju en förutsättning för att sedan byta tillfaktura /autogiro. Jag är tydligen inte välkommen som kund hos hallon.Efter att ha surfat runt för att se andras omdömen, så är jag inte längre intresserad, bluff-företag tydligen det vanligaste omdömet, deras support och kundens möjlighet att komunicera med dem är tydligen det värsta man skådat.",0
Snabb leverans och fina produkter!Är riktigt nöjd och har alltid varit nöjd med Accent!,1
Inga problem med beställningen och snabb leverans. 🙂,1
"Har skickat klockan i retur för snart en månad sedan ej fått tillbaka mina pengar ännu ca 2000:- mailat flera gånger utan gensvar, helt galet fick bara Mail om att ni tyckte ja gett dåligt betyg hoppas på svar snarast/Robban",0
Välj en annan butik så länge de anv fraktfirman BRING....funkar aldrig! Väntar fortf på ett madrasskydd som behövs (var ett krav) till madrasserna jag beställde. De ligger kvar på terminalen sen en vecka. Jysk ordnar inte upp detta utan man får jaga själv efter detta trots att Bring lovar att de ska fixa allt.,0
Personalen vid telefon svarar och löser problem snabbt och bra!,1
"Lite längre transporttid än utlovat, postnord?? Annars mycket nöjd",1
Såg inte alls ut som jag trodde (enligt bild),0
Snabb leverans,1
Eran prisbild är en kantastråf,0
Super taskig service,0
Var och handlade på Biltema i Ängelholmfick ett mycket dåligt bemötande  när jag skulle betala Maria  Å stod på det på kvittot  antagligen  trött på sitt jobb kommer trots detta att handla där har mycket bra sortiment,0
Grymt bra kundtjänst. Hjälpte mig direkt utan krångel. Supernöjd. 👍,1
Tydlig info och kunnig personal. Bra pris och hjälp.,1
Snabbt och smidigt,1
"Kundtjänst under all kritik! Beställer två klänningar i storlek XXL/UK18. UK18 = storlek 46. Går av annan anledning in på märkets hemsida (märket på klänningen som inte är bubblerooms egna) och kollar lite andra kläder. Märker då att där står XXL/UK16, UK16 = storlek 44. Kontaktar direkt Bubbleroom kundtjänst (en lördag) och frågar vad som gäller. Ber att få häva köpet ifall de skrivit fel och det är storlek 44 och inte 46. Får till svar på måndagen att det såklart är XXL och storlek 44 som gäller och att jag får skylla mig själv. Får inte häva köpet utan måste hämta ut, returnera och invänta återbetalning efter det. Otroligt dåligt. Får bland annat till svar ”det står inte storlek 46 någonstans”.. men det står UK18 och UK18=46. Jag är fruktansvärt besviken på att de inte kunde erkänna något som helst ansvar eller visa förståelse. Riktigt illa.Edit: Gick alltså inte att häva köpet på måndagen då min beställning redan påstods vara under behandling. Idag torsdag är paketet fortfarande inte skickat...",0
Dom lurar alla dom står å drar in en i butiken så känner sig tving ! Att göra ett avtal me dom,0
Snabb o enkel beställning o leverans o bra produkt!,1
Alltid nöjd och tacksam efter köp i denna butik. Har hemleverans som bara ligger 10 eller 20 kronor över vanlig frakt till ombud.,1
Snabb leverans och bra kvalitet,1
Alltid bra service,1
Super snabb leverans och väldigt bra sortiment! Beskrivningarna till produkterna hjälpte verkligen mig att hitta den perfekta väskan!!! 😍😍,1
Långsam leverans!,0
"Jag fick vara som inte alls stämde med beskrivningen. Ett skrivbord med bredd 90 cm enligt hemsidan visade sig vara 118 cm brett. För att kompenseras för detta ombads jag returnera varan genom att själv införskaffa emballage (förslagsvis Bauhaus). Eftersom jag inte varken vill åka kommunalt eller besöka fysisk butik i corona-tider (därav anledningen till min beställning från Furniturebox) så kan jag inte reklamera varan och därmed inte få någon ersättning. Jag har alltså ett skrivbord som jag varken kan använda (mitt lilla hemmakontor är 100 cm brett), eller bli av med på ett enkelt sätt och inga pengar att köpa ett annat skrivbord för. Köp era möbler på Chilli.se!",0
"Vi hade i helgen en bjudning,vi hade räknat med att vår soffa skulle vara på plats enligt den orderbekräftelse vi fick från er med leverans datum 2014-02-14.I Fredags ringde jag TheHome för att säkerställa att leveransen av soffan var ok,jag fick som svar att TheHome skulle återkomma med besked om när soffan skulle levereras senare på Fredagen.TheHome hörde inte av sig.Jag kan inte förstå att TheHome skickar ut orderbekräftelse med datum för leverans,utan att ringa eller skicka nytt datum om det övenskomna inte håller.Nu blev det ett svar att soffan är 2v försenad efter att jag som kund undrat över varför leverans ej kommitJag är mycket besviken på ert sätt att hantera kund!/Per",0
"Beställde en vara som enligt hemsidan skulle finnas i lager. När paketet väl kommit så saknas varan. Blev inte meddelad att varan var restad, dröjde två dagar innan man svarade på mejl varför det blev så här. Det enda positiva var att dom övriga grejerna kom snabbt.",0
Jag köpte och betalade för 3 plagg. Några dagar senare fick jag ett plagg levererat och pengarna tillbaka för de andra två. Hur kan man sälja något som man inte har...?,0
Hittat många fynd på hotellspecials när vi gjort våra små helgtripper.,1
"Den snabbaste orderhantering jag varit med om. Beställde onsdag kl12 och fick ett mail kl14 att ordern var skickad. Fick sms på torsdag att jag kunde hämta set på hemköp. Hade beställt ett smyckeskrin med gravering.  Jätte fint, så nöjd😊",1
Mycket otrevliga personer,0
